datetime,temp,humidity,wind_speed,hour,dayofweek,lag_1
2026-04-03 00:00:00,26.58,71,4.89,0,4,4.89
2026-04-03 03:00:00,24.68,82,4.28,3,4,4.89
2026-04-03 06:00:00,24.0,89,4.4,6,4,4.28
2026-04-03 09:00:00,23.79,88,3.47,9,4,4.4
2026-04-03 12:00:00,23.66,94,3.16,12,4,3.47
2026-04-03 15:00:00,25.75,68,5.46,15,4,3.16
2026-04-03 18:00:00,28.61,53,6.81,18,4,5.46
2026-04-03 21:00:00,27.88,56,6.74,21,4,6.81
2026-04-04 00:00:00,25.63,68,5.74,0,5,6.74
2026-04-04 03:00:00,23.31,85,5.49,3,5,5.74
2026-04-04 06:00:00,22.63,86,5.21,6,5,5.49
2026-04-04 09:00:00,22.23,88,3.41,9,5,5.21
2026-04-04 12:00:00,21.3,95,2.89,12,5,3.41
2026-04-04 15:00:00,25.55,67,4.0,15,5,2.89
2026-04-04 18:00:00,28.32,52,4.45,18,5,4.0
2026-04-04 21:00:00,24.08,80,2.18,21,5,4.45
2026-04-05 00:00:00,24.64,75,1.75,0,6,2.18
2026-04-05 03:00:00,22.78,88,0.8,3,6,1.75
2026-04-05 06:00:00,22.4,89,0.87,6,6,0.8
2026-04-05 09:00:00,20.91,94,3.68,9,6,0.87
2026-04-05 12:00:00,20.08,92,4.21,12,6,3.68
2026-04-05 15:00:00,18.98,88,4.76,15,6,4.21
2026-04-05 18:00:00,18.89,87,4.92,18,6,4.76
2026-04-05 21:00:00,16.88,94,5.6,21,6,4.92
2026-04-06 00:00:00,15.12,94,5.08,0,0,5.6
2026-04-06 03:00:00,14.64,94,5.73,3,0,5.08
2026-04-06 06:00:00,14.21,85,4.54,6,0,5.73
2026-04-06 09:00:00,14.52,82,3.5,9,0,4.54
2026-04-06 12:00:00,14.15,74,4.34,12,0,3.5
2026-04-06 15:00:00,14.89,69,5.14,15,0,4.34
2026-04-06 18:00:00,17.54,55,4.88,18,0,5.14
2026-04-06 21:00:00,19.67,44,5.4,21,0,4.88
2026-04-07 00:00:00,18.86,50,3.75,0,1,5.4
2026-04-07 03:00:00,16.41,61,2.33,3,1,3.75
2026-04-07 06:00:00,14.88,61,3.09,6,1,2.33
2026-04-07 09:00:00,13.51,60,3.53,9,1,3.09
2026-04-07 12:00:00,12.31,63,3.66,12,1,3.53
2026-04-07 15:00:00,15.56,51,4.05,15,1,3.66
2026-04-07 18:00:00,21.06,34,4.1,18,1,4.05
2026-04-07 21:00:00,22.8,31,3.06,21,1,4.1
